x_m,y_m
5.517578125000000347e-03,1.399613768166858493e-02
5.505299459836551605e-03,1.399414062500000007e-02
5.498046874999999896e-03,1.399297965103406087e-02
5.478515625000000312e-03,1.399009950971928304e-02
5.458984374999999861e-03,1.398745236743725341e-02
5.439453125000000278e-03,1.398497042499800662e-02
5.419921874999999827e-03,1.398260164039706946e-02
5.400390625000000243e-03,1.398030712662132365e-02
5.380859374999999792e-03,1.397805883767047098e-02
5.361328125000000208e-03,1.397583789225924529e-02
5.350317638873650430e-03,1.397460937500000049e-02
5.341796874999999757e-03,1.397367967759798914e-02
5.322265625000000173e-03,1.397173272641103262e-02
5.302734374999999722e-03,1.396996502683912553e-02
5.283203125000000139e-03,1.396834967610155985e-02
5.263671874999999688e-03,1.396686662401905830e-02
5.244140625000000104e-03,1.396550140926754342e-02
5.224609375000000520e-03,1.396424410518291685e-02
5.205078125000000069e-03,1.396308843605274970e-02
5.185546874999999618e-03,1.396203102031292123e-02
5.166015625000000035e-03,1.396107071351635615e-02
5.146484375000001318e-03,1.396020803236343311e-02
5.126953125000000000e-03,1.395944465177041856e-02
5.107421875000000416e-03,1.395878297116838994e-02
5.087890625000000833e-03,1.395822574477792455e-02
5.068359375000000382e-03,1.395777576929048240e-02
5.048828124999999931e-03,1.395743562240975462e-02
5.029296875000000347e-03,1.395720744963708376e-02
5.009765624999999896e-03,1.395709279939880317e-02
4.990234375000000312e-03,1.395709250908631037e-02
4.970703124999999861e-03,1.395720664031647150e-02
4.951171875000001145e-03,1.395743447193156621e-02
4.931640624999999827e-03,1.395777454846242570e-02
4.912109375000000243e-03,1.395822478242321474e-02
4.892578124999999792e-03,1.395878261499235509e-02
4.873046875000000208e-03,1.395944522944545484e-02
4.853515624999999757e-03,1.396020981815764526e-02
4.833984375000000173e-03,1.396107390319914314e-02
4.814453124999999722e-03,1.396203571553975183e-02
4.794921875000000139e-03,1.396309463808524144e-02
4.775390624999999688e-03,1.396425171680932588e-02
4.755859375000000104e-03,1.396551024357763245e-02
4.736328125000000520e-03,1.396687641765732325e-02
4.716796875000000069e-03,1.396836010418243956e-02
4.697265625000000486e-03,1.396997571545504670e-02
4.677734375000000035e-03,1.397174325736703394e-02
